Sunday(09:30 AM-10:50 AM-08F-20C),Tuesday(09:30 AM-10:50 AM-08F-20C)
Sunday(02:00 PM-03:20 PM-08F-20C),Tuesday(02:00 PM-03:20 PM-08F-20C)
Sunday(03:30 PM-04:50 PM-08F-20C),Tuesday(03:30 PM-04:50 PM-08F-20C)
Sunday(12:30 PM-01:50 PM-09G-31T),Tuesday(12:30 PM-01:50 PM-09G-31T)
Sunday(12:30 PM-01:50 PM-09D-19C),Tuesday(12:30 PM-01:50 PM-09D-19C)
Monday(11:00 AM-12:20 PM-08D-17C),Wednesday(11:00 AM-12:20 PM-08D-17C)
Monday(03:30 PM-04:50 PM-08F-18C),Wednesday(03:30 PM-04:50 PM-08F-18C)
Monday(08:00 AM-09:20 AM-08F-20C),Wednesday(08:00 AM-09:20 AM-08F-20C)
Monday(12:30 PM-01:50 PM-07A-07C),Wednesday(12:30 PM-01:50 PM-07A-07C)
Saturday(09:30 AM-10:50 AM-08H-22C),Thursday(09:30 AM-10:50 AM-08H-22C)
Monday(09:30 AM-10:50 AM-08F-20C),Wednesday(09:30 AM-10:50 AM-08F-20C)
Sunday(08:00 AM-09:20 AM-08F-20C),Tuesday(08:00 AM-09:20 AM-08F-20C)
Monday(12:30 PM-01:50 PM-08F-20C),Wednesday(12:30 PM-01:50 PM-08F-20C)
Saturday(02:00 PM-03:20 PM-07H-28C),Thursday(02:00 PM-03:20 PM-07H-28C)
Monday(09:30 AM-10:50 AM-10D-23C),Wednesday(09:30 AM-10:50 AM-10D-23C)
Sunday(02:00 PM-03:20 PM-FT11-04L),Tuesday(02:00 PM-03:20 PM-FT11-04L)
Monday(12:30 PM-01:50 PM-FT11-04L),Wednesday(12:30 PM-01:50 PM-FT11-04L)
Sunday(12:30 PM-01:50 PM-10B-18C),Tuesday(12:30 PM-01:50 PM-10B-18C)
Monday(02:00 PM-03:20 PM-10B-16C),Wednesday(02:00 PM-03:20 PM-10B-16C)
Sunday(11:00 AM-12:20 PM-10B-17C),Tuesday(11:00 AM-12:20 PM-10B-17C)
Sunday(02:00 PM-03:20 PM-10B-16C),Tuesday(02:00 PM-03:20 PM-10B-16C)
Sunday(02:00 PM-03:20 PM-10D-23C),Tuesday(02:00 PM-03:20 PM-10D-23C)
Monday(11:00 AM-12:20 PM-10B-16C),Wednesday(11:00 AM-12:20 PM-10B-16C)
Saturday(05:00 PM-06:20 PM-10B-17C),Thursday(05:00 PM-06:20 PM-10B-17C)
Monday(08:00 AM-09:20 AM-10D-23C),Wednesday(08:00 AM-09:20 AM-10D-23C)
Monday(08:00 AM-09:20 AM-07D-21C),Wednesday(08:00 AM-09:20 AM-07D-21C)
Sunday(11:00 AM-12:20 PM-07H-28C),Tuesday(11:00 AM-12:20 PM-07H-28C)
Monday(12:30 PM-01:50 PM-07H-28C),Wednesday(12:30 PM-01:50 PM-07H-28C)
Sunday(11:00 AM-12:20 PM-11A-01L),Sunday(12:30 PM-01:50 PM-11A-01L)
Thursday(02:00 PM-03:20 PM-11A-01L),Thursday(03:30 PM-04:50 PM-11A-01L)
Wednesday(11:00 AM-12:20 PM-11A-02L),Wednesday(12:30 PM-01:50 PM-11A-02L)
Saturday(09:30 AM-10:50 AM-11A-01L),Saturday(11:00 AM-12:20 PM-11A-01L)
Sunday(09:30 AM-10:50 AM-10B-16C),Tuesday(09:30 AM-10:50 AM-10B-16C)
Sunday(09:30 AM-10:50 AM-10F-29C),Tuesday(09:30 AM-10:50 AM-10F-29C)
Sunday(11:00 AM-12:20 PM-10F-29C),Tuesday(11:00 AM-12:20 PM-10F-29C)
Sunday(12:30 PM-01:50 PM-10F-29C),Tuesday(12:30 PM-01:50 PM-10F-29C)
Sunday(02:00 PM-03:20 PM-10F-29C),Tuesday(02:00 PM-03:20 PM-10F-29C)
Monday(11:00 AM-12:20 PM-10F-29C),Wednesday(11:00 AM-12:20 PM-10F-29C)
